Severity,WCAG Rule,Category,WCAG Criterion,Element,Message,Snippet
critical,1.4.3,Color Contrast,Contrast (Minimum),"span#saveIndicator","Contrast ratio 2.45:1 (need 4.5:1) — rgb(16,185,129) on rgb(251,251,253)","Saved"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#matchActiveBadge > button","Contrast ratio 4.41:1 (need 4.5:1) — rgb(110,110,115) on rgb(231,240,251)","×"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Market Analysis"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","VP, Global Strategy, GM CAB & Futurist"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Financial Analysis"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","VP, Global Strategy, GM CAB & Futurist"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Stakeholder Management"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","VP, Global Strategy, GM CAB & Futurist"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Data Analysis"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","VP, Global Strategy, GM CAB & Futurist"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Executive Presence"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Co-Founder/Chief Pilot"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","P&L Management"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Co-Founder/Chief Pilot"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Cross-Functional Collaboration"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Co-Founder/Chief Pilot"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#cardView > div > div > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Talent Development"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","+"
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > span > span","Contrast ratio 4.36:1 (need 4.5:1) — rgb(110,110,115) on rgb(228,239,252)","Co-Founder/Chief Pilot"
