Severity,WCAG Rule,Category,WCAG Criterion,Element,Message,Snippet
warning,1.4.3,Color Contrast,Contrast (Minimum),"div#matchActiveBadge > button","Contrast ratio 4.41:1 (need 4.5:1) — rgb(110,110,115) on rgb(231,240,251)","×"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
